	ID	ODPnumbO	ODPnumbD	ODPnumbAvg	VarO	VarD	VarAvg	spd	FrstDrvO	FrstDrvD	FrstDrvAvg	scndDrvO	scndDrvD	scndDrAvg	OTime	Dtime
863	663	1	2	1.5	0.0	49.0	24.5	0.48989899	0.0	1.0	0.5	0.0	0.0	0.0	0	14
864	664	2	1	1.5	49.0	0.0	24.5	0.29535865	1.0	0.0	0.5	0.0	0.0	0.0	14	0
865	665	1	10	5.5	0.0	40.8	20.4	0.368821293	0.0	-0.141175414	-0.070587707	0.0	-0.005585822	-0.002792911	0	87
866	666	10	1	5.5	40.8	0.0	20.4	0.02812126	-0.141175414	0.0	-0.070587707	-0.005585822	0.0	-0.002792911	87	0
867	667	1	4	2.5	0.0	76.0	38.0	5.7977528089999995	0.0	0.939910314	0.469955157	0.0	0.0	0.0	0	23
868	668	1	1	1.0	0.0	0.0	0.0	0.359108159	0.0	0.0	0.0	0.0	0.0	0.0	0	0
869	669	2	10	6.0	49.0	40.8	44.9	0.350625289	1.0	-0.141175414	0.42941229299999994	0.0	-0.005585822	-0.002792911	14	87
870	670	1	1	1.0	0.0	0.0	0.0	0.063012677	0.0	0.0	0.0	0.0	0.0	0.0	0	0
871	671	10	4	7.0	40.8	76.0	58.4	0.148344111	-0.141175414	0.939910314	0.39936745	-0.005585822	0.0	-0.002792911	87	23
872	672	2	1	1.5	0.0	0.0	0.0	1.8181818180000002	0.0	0.0	0.0	0.0	0.0	0.0	0	0
873	673	1	1	1.0	0.0	0.0	0.0	0.487437186	0.0	0.0	0.0	0.0	0.0	0.0	0	0
874	674	3	2	2.5	3.5555555560000003	4.0	3.777777778	0.010402145	0.133333333	0.0	0.066666667	0.0	0.0	0.0	15	0
875	675	1	3	2.0	0.0	0.8888888890000001	0.444444444	13.0	0.0	0.14285714300000002	0.071428571	0.0	0.0	0.0	0	7
876	676	3	12	7.5	0.8888888890000001	89.88888889	45.38888889	3.4864864860000004	0.14285714300000002	-0.002923788	0.069966677	0.0	-0.000600055	-0.000300028	7	3160
877	677	12	4	8.0	89.88888889	12.75	51.31944444	20.14285714	-0.002923788	7.0	3.4985381060000003	-0.000600055	0.0	-0.000300028	3160	1
878	678	4	3	3.5	12.75	0.0	6.375	60.0	7.0	0.0	3.5	0.0	0.0	0.0	1	0
879	679	3	1	2.0	0.0	0.0	0.0	15.66666667	0.0	0.0	0.0	0.0	0.0	0.0	0	0
880	680	1	1	1.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
881	681	1	5	3.0	0.0	0.96	0.48	141.0	0.0	0.222222222	0.111111111	0.0	0.0	0.0	0	9
882	682	5	3	4.0	0.96	0.8888888890000001	0.924444444	60.0	0.222222222	-2.0	-0.8888888890000001	0.0	0.0	0.0	9	1
883	683	3	23	13.0	0.8888888890000001	14.8657845	7.877336693999999	15.66666667	-2.0	-7.340000000000001e-05	-1.000036709	0.0	-9.22e-06	-4.61e-06	1	4073
884	684	1	12	6.5	0.0	89.88888889	44.94444444	5.270718232	0.0	-0.002923788	-0.001461894	0.0	-0.000600055	-0.000300028	0	3160
885	685	3	4	3.5	0.8888888890000001	12.75	6.819444444	0.228355958	0.14285714300000002	7.0	3.571428571	0.0	0.0	0.0	7	1
886	686	12	3	7.5	89.88888889	0.0	44.94444444	94.625	-0.002923788	0.0	-0.001461894	-0.000600055	0.0	-0.000300028	3160	0
887	687	4	1	2.5	12.75	0.0	6.375	84.11111111	7.0	0.0	3.5	0.0	0.0	0.0	1	0
888	688	3	1	2.0	0.0	0.0	0.0	84.11111111	0.0	0.0	0.0	0.0	0.0	0.0	0	0
889	689	1	5	3.0	0.0	0.96	0.48	757.0	0.0	0.222222222	0.111111111	0.0	0.0	0.0	0	9
890	690	1	3	2.0	0.0	0.8888888890000001	0.444444444	75.7	0.0	-2.0	-1.0	0.0	0.0	0.0	0	1
891	691	5	23	14.0	0.96	14.8657845	7.91289225	75.7	0.222222222	-7.340000000000001e-05	0.11107440199999999	0.0	-9.22e-06	-4.61e-06	9	4073
