	ODPnumbO	ODPnumbD	ODPnumbAvg	VarO	VarD	VarAvg	spd	FrstDrvO	FrstDrvD	FrstDrvAvg	scndDrvO	scndDrvD	scndDrAvg	OTime	Dtime
26	0.11592235844782624	0.4737414002507843	0.4005802634920028	-0.3517940925851266	2.106367535085105	0.6282404501210899	-0.30926998986884935	0.04384550651137448	0.584808803708306	0.4396116426681933	0.07116226551155069	2.3626524152649107	2.010643943179046	-0.102295857062685	0.27281572784347696
397	0.8930554877069969	-0.3697150987120364	0.4005802634920028	-0.2168407593453592	-0.16291250990070302	-0.2676043792347667	-0.2890538435069614	-0.004920117655860291	-0.014965628990466995	-0.014027627793626816	0.07651326150544377	0.10730611409045002	0.13021792323508458	5.128992063203545	-0.4128497070458803
114	-0.4021663943916209	-0.6508672650329766	-0.726491990178345	-0.37558083117672075	-0.5916178080718255	-0.6021804403135967	-0.3008072744600258	-0.01859098124486807	-0.014965628990466995	-0.024025657750029676	0.07116226551155069	0.10730611409045002	0.12737750967283118	-0.37485035374882475	-0.4128497070458803
370	-0.4021663943916209	-0.6508672650329766	-0.726491990178345	0.19530089502153802	-0.5916178080718255	-0.08986084679464329	-0.3286266895609258	-2.385602813272483	-0.014965628990466995	-1.7551129370121563	0.07116226551155069	0.10730611409045002	0.12737750967283118	-0.31330578998098674	-0.4128497070458803
231	0.3749667348675498	-0.6508672650329766	-0.16295586334317105	-0.2242971737341822	-0.5916178080718255	-0.4664157480310741	-0.3005323518035294	-0.12499793432413109	-0.014965628990466995	-0.10184517829714869	0.07116226551155069	0.10730611409045002	0.12737750967283118	-0.18142458190704816	-0.4128497070458803
42	0.3749667348675498	0.4737414002507843	0.5884256391037275	-0.33847351897383393	0.7040248708453446	0.011749205919949185	-0.3221078036416455	-0.10271325194264559	0.7707983932801393	0.46204130662525383	0.07116226551155069	0.10730611409045002	0.12737750967283118	-0.1902166624453107	-0.004087620861840382
95	-0.6612107708113445	-0.3697150987120364	-0.726491990178345	-0.3993675697683149	-0.5916178080718255	-0.6235270900435531	-0.3249548205664541	-0.01859098124486807	-0.014965628990466995	-0.024025657750029676	0.07116226551155069	0.10730611409045002	0.12737750967283118	-0.37485035374882475	-0.28099096956715774
392	-0.14312201797189733	0.1925892339298441	0.024889512268553567	-0.20907366103556194	0.015714697670598007	-0.18058410814695797	-0.29998973224954684	3.2952255825996484	0.8003661152706733	2.967690732864038	0.07116226551155069	0.10730611409045002	0.12737750967283118	-0.348474112134037	-0.21506160082779646
137	-0.6612107708113445	0.4737414002507843	-0.16295586334317105	-0.3993675697683149	-0.39346069247272886	-0.5347250271669346	-0.3276993046894608	-0.01859098124486807	-0.03653062614320861	-0.03905402549720365	0.07116226551155069	-0.24020649459980986	-0.16280373704811604	-0.37485035374882475	0.40467446532219953
248	-0.6612107708113445	-0.6508672650329766	-0.9143373657900696	-0.3993675697683149	-0.5916178080718255	-0.6235270900435531	-0.3271459466415995	-0.01859098124486807	-0.014965628990466995	-0.024025657750029676	0.07116226551155069	0.10730611409045002	0.12737750967283118	-0.37485035374882475	-0.4128497070458803
389	-0.4021663943916209	-0.6508672650329766	-0.726491990178345	-0.37558083117672075	-0.5916178080718255	-0.6021804403135967	-0.33256143910174923	-0.01859098124486807	-0.014965628990466995	-0.024025657750029676	0.07116226551155069	0.10730611409045002	0.12737750967283118	-0.37485035374882475	-0.4128497070458803
46	0.11592235844782624	0.4737414002507843	0.4005802634920028	-0.3517940925851266	-0.28676070715013835	-0.44421523231191945	-0.3329191037812643	-0.01859098124486847	0.06903532500899912	0.034513524728572845	0.07116226551155069	0.10730611409045002	0.12737750967283118	-0.1990087429835733	-0.12276048459269068
308	-0.4021663943916209	0.4737414002507843	0.024889512268553567	-0.37558083117672075	-0.484917822749235	-0.5543639449184944	-0.33545290193661387	0.015927940742876213	0.007363245583987727	0.01678006998120331	0.07116226551155069	0.09832038864868693	0.11989063924284536	0.46918937792438214	2.9363622249136725
209	-0.6612107708113445	-0.6508672650329766	-0.9143373657900696	-0.3993675697683149	-0.5916178080718255	-0.6235270900435531	5.139830176112546	-0.01859098124486807	-0.014965628990466995	-0.024025657750029676	0.07116226551155069	0.10730611409045002	0.12737750967283118	-0.37485035374882475	-0.4128497070458803
